track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,revenue,Initial_royalty_fee,genre,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,bpm,key,Unnamed: 26,in_shazam_charts,Genre
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,6,14,8,2,311914.674,3.12e-05,,Minor,43,14,74,1,0,19,8,84,A,,4,Hip-Hop
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,42,1,312811.488,3.13e-05,,Major,69,82,76,6,0,6,3,123,F#,,150,
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,13,8,313765.596,3.14e-05,,Major,56,63,87,39,0,11,5,168,F#,,197,Pop
HAPPY,NF,1,2023,3,25,660,0,52722996,22,7,11,0,316337.976,3.16e-05,,Major,73,22,86,31,0,12,4,106,G,,78,Pop
Mirror,Kendrick Lamar,1,2022,5,13,1929,0,53603447,2,0,4,0,321620.682,3.22e-05,,Minor,66,29,65,23,0,8,7,92,E,,0,Pop
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,0,53729194,10,4,4,0,322375.164,3.22e-05,,Major,83,32,82,14,0,12,4,105,D,,0,Pop
Still Life,BIGBANG,1,2022,4,5,181,0,53909146,16,14,7,0,323454.876,3.23e-05,,Major,68,24,58,44,0,6,3,118,G#,,0,Pop
Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526,1,8,6,0,323601.156,3.24e-05,,Minor,27,10,49,62,0,49,5,78,A,,0,Pop
Lady Mi Amor,Feid,1,2022,9,13,330,0,53987404,3,0,2,0,323924.424,3.24e-05,,Major,78,75,62,6,0,15,6,93,D,,0,Pop
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,3,88,1,0,325353.792,3.25e-05,,Minor,76,96,72,32,0,9,4,110,G,,52,
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,325596.612,3.26e-05,,Minor,77,84,89,17,0,43,5,130,C#,,169,Pop
SPACE MAN,Sam Ryder,1,2022,2,22,1329,0,54682594,42,51,32,0,328095.564,3.28e-05,,Major,47,33,83,18,0,10,5,80,B,,0,Pop
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991,17,3,3,0,329627.946,3.3e-05,,Minor,90,74,54,16,0,13,28,115,F,,0,Hip-Hop
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,19,117,8,1,335054.07,3.35e-05,,Minor,75,79,63,33,0,15,4,128,A,,74,Pop
ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272,6,15,0,0,339199.632,3.39e-05,,Major,49,48,67,10,0,26,3,142,D,,0,
Conceited,SZA,1,2022,12,9,899,0,56870689,2,14,2,0,341224.134,3.41e-05,,Major,79,77,46,5,0,11,7,150,C#,,0,Hip-Hop
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066,34,2,33,0,342534.396,3.43e-05,,Major,78,20,70,1,0,16,4,126,C#,,1,Hip-Hop
Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458,6,11,3,0,342866.748,3.43e-05,,Major,47,33,68,24,0,22,38,81,G#,,0,Hip-Hop
