artist,collaborators,followers,total_songs_x,total_songs
Summer Walker,"Kendrick Lamar, Ghostface Killah",6458804,,1.0
Maria Becerra,"FMK, J Balvin, NICKI NICOLE, Duki, Lit Killah, Tiago pzk, Big One, Rusherking, Emilia, Tini",6450711,,1.0
Trueno,Tiago pzk,6320228,,1.0
The Police,,6108976,,1.0
Ana Castela,"AgroPlay, Dj Chris No Beat, Melody, Israel & Rodolffo",6084873,,1.0
Kevin Gates,Juicy J,6084650,,1.0
Nengo Flow,"Chris Jedi, Bad Bunny, Anuel Aa, Chencho Corleone",6061723,,1.0
John Lennon,"The Harlem Community Choir, Yoko Ono, The Plastic Ono Band",6018766,,1.0
Rex Orange County,,6004459,,1.0
Daniel Caesar,"Giveon, Justin Bieber",5936558,,1.0
Mac DeMarco,,5935657,,1.0
Kenshi Yonezu,,5911596,,0.0
La Adictiva,Luis R Conriquez,5889367,,1.0
Gustavo Mioto,Mari Fernandez,5828407,,0.0
Lizzo,,5714675,,3.0
Calum Scott,Lost Frequencies,5606774,,1.0
Eslabon Armado,Peso Pluma,5529700,,1.0
Central Cee,Dave,5524671,,3.0
Lit Killah,"FMK, NICKI NICOLE, Maria Becerra, Duki, Tiago pzk, Big One, Rusherking, Emilia",5473565,,1.0
WizKid,"Don Toliver, Beam, Toian, Metro Boomin, Kyla, Drake",5458492,,1.0
Tate McRae,,5431931,,2.0
Danny Ocean,,5424448,,0.0
The Kid Laroi,Justin Bieber,5341491,,3.0
LE SSERAFIM,Nile Rodgers,5269643,,2.0
Nio Garcia,"Bad Bunny, J Balvin",5269156,,1.0
Luis R Conriquez,"La Adictiva, Peso Pluma",5240010,,2.0
Alec Benjamin,,5081042,,1.0
Miguel,,5075013,,1.0
AP Dhillon,"Gurinder Gill, Intense",5034789,,1.0
Tiago pzk,"Bizarrap, FMK, NICKI NICOLE, Maria Becerra, Duki, Ozuna, Lit Killah, Big One, Rusherking, Trueno, Emilia",5032999,,3.0
Mora,"Feid, Sech, Bad Bunny, Saiko, Quevedo",5032856,,3.0
Dove Cameron,,4997564,,1.0
MC Ryan SP,"Love Funk, Mc Paiva ZS",4988242,,0.0
Blackbear,BoyWithUke,4948303,,1.0
YEAT,,4911820,,1.0
Kenia OS,,4904522,,0.0
BIGBANG,,4877150,,1.0
Paul McCartney,,4778503,,1.0
Suga,"Halsey, PSY",4734068,,2.0
Zendaya,Labrinth,4693265,,1.0
Sean Paul,"Dua Lipa, Feid",4688191,,1.0
Mc Paiva ZS,"Love Funk, MC Ryan SP",4682183,,0.0
Steve Lacy,,4664975,,3.0
King,,4617592,,1.0
Mc Pedrinho,"Pedro Sampaio, DJ 900",4577467,,1.0
Quevedo,"Bizarrap, Feid, Mora, La Pantera, Duki, Cruz CafunÃ¯Â¿Â½Ã¯Â¿Â½, Juseph, De La Ghetto, Abhir Hathi, Saiko, Ovy On The Drums, Myke Towers, Jhayco, BÃ¯Â¿Â½Ã¯Â¿Â½jo, Karol G",4575599,,8.0
Pharrell Williams,"Justin Timberlake, 21 Savage, Tyler, Calvin Harris, Halsey, Daft Punk, Nile Rodgers, The Creator",4507602,,3.0
JVKE,"Kodak Black, Jimin, Muni Long, NLE Choppa",4445940,,3.0
Yuridia,Angela Aguilar,4429765,,0.0
Don Toliver,"WizKid, SZA, Beam, Toian, Metro Boomin, Justin Bieber, Future",4424571,,4.0
Plan B,,4334853,,0.0
Grupo Marca Registrada,"Grupo Frontera, Junior H",4277542,,1.0
Veigh,"Bvga Beatz, Prod Malax, Supernova Ent",4267886,,0.0
Mabel Matiz,Mert Demir,4224167,,1.0
IVE,,4192041,,4.0
BoyWithUke,Blackbear,4168389,,2.0
Zach Bryan,,4146267,,1.0
L7nnon,"DJ Biel do Furduncinho, Bianca",4145422,,0.0
Glass Animals,,4135798,,1.0
PnB Rock,,4126996,,1.0
Offset,"Metro Boomin, Lil Wayne, Swae Lee, JID",4084694,,2.0
BLESSD,Peso Pluma,4059590,,1.0
Grupo Frontera,"Yahritza Y Su Esencia, Carin Leon, Grupo Marca Registrada, Bad Bunny, Fuerza Regida, Peso Pluma",4034048,,6.0
NIKI,,4014536,,1.0
Alesso,Katy Perry,3887927,,0.0
Shubh,,3847542,,1.0
Tom Odell,,3841917,,1.0
Eric Church,Morgan Wallen,3835889,,1.0
Giveon,"Daniel Caesar, Justin Bieber",3822375,,2.0
Jack Harlow,Lil Nas X,3809382,,4.0
Swedish House Mafia,The Weeknd,3756582,,1.0
Steve Aoki,"La Joaqui, Tini",3742228,,0.0
Ke personajes,"Big One, FMK",3690076,,0.0
Tony Dize,Bad Bunny,3689942,,1.0
Ice Spice,"PinkPantheress, Aqua, Nicki Minaj, Taylor Swift",3651157,,3.0
teto,,3636874,,1.0
Sofia Carson,,3599326,,0.0
JISOO,,3569060,,1.0
Milo j,Taiu,3549976,,1.0
Ruth B.,,3493725,,1.0
NAV,"Metro Boomin, Swae Lee, A Boogie Wit da Hoodie",3472493,,1.0
Tears For Fears,,3446064,,1.0
Treasure,,3374872,,1.0
Keane,,3373828,,1.0
PinkPantheress,Ice Spice,3370249,,2.0
Baby Rasta,Rauw Alejandro,3320047,,1.0
Stromae,,3308673,,0.0
Fujii Kaze,,3289356,,0.0
Keisya Levronka,,3286061,,0.0
Semicenk,DoÃ¯Â¿Â½Ã¯Â¿Â½u,3258200,,0.0
Labrinth,Zendaya,3247717,,6.0
Charli XCX,"Jax Jones, Saweetie, Joel Corry",3242812,,1.0
Dean Lewis,,3188701,,1.0
Juicy J,Kevin Gates,3172689,,1.0
Ghost,,3126035,,1.0
Robin Schulz,Oliver Tree,3086670,,1.0
Vance Joy,,3085907,,1.0
Young Miko,Feid,3074327,,1.0
MC Kevin o Chris,dennis,3019326,,0.0
Mari Fernandez,"Israel & Rodolffo, Gustavo Mioto",3008381,,1.0
Aitana,zzoilo,2989872,,0.0
Emilia,"FMK, Maria Becerra, Duki, Lit Killah, Tiago pzk, Big One, Rusherking",2988443,,1.0
Tones and I,,2933129,,1.0
KayBlack,MC Caverinha,2914223,,0.0
Chefin,Mainstreet,2888605,,1.0
Gabito Ballesteros,"Natanael Cano, Peso Pluma, Junior H",2853457,,1.0
NMIXX,,2840421,,0.0
Cris Mj,"NICKI NICOLE, Duki, Standly, Ak4:20, Stars Music Chile, Pailita",2826348,,0.0
Lost Frequencies,Calum Scott,2808883,,1.0
Simone Mendes,,2801077,,1.0
The Goo Goo Dolls,,2787325,,1.0
Benson Boone,,2767644,,1.0
C. Tangana,,2729771,,0.0
Wham!,,2728086,,1.0
Dopamine,"Riton, Nightcrawlers, Mufasa & Hypeman",2705635,,1.0
Twisted,Oliver Tree,2645538,,1.0
d4vd,,2631583,,2.0
Chris Jedi,"Anuel Aa, Nengo Flow, Chencho Corleone",2607299,,0.0
Willow,"THE ANXIETY, Camila Cabello, Tyler Cole",2593394,,3.0
Pedro Sampaio,Mc Pedrinho,2567398,,0.0
Ryan Castro,"Sog, Peso Pluma",2549651,,2.0
Anderson .Paak,"Bruno Mars, Silk Sonic",2522538,,2.0
Israel & Rodolffo,"Ana Castela, Mari Fernandez",2483909,,1.0
Rvssian,"Chris Brown, Rauw Alejandro",2479797,,0.0
Oliver Tree,"Twisted, Robin Schulz",2447471,,3.0
Phoebe Bridgers,SZA,2403574,,1.0
Baby Keem,"Kendrick Lamar, Sam Dew",2375596,,2.0
