artist(s)_name,collaborators,followers,total_songs,artist_popularity
Lizzy McAlpine,,936242,,73
Raim Laode,,934844,,61
Ghostface Killah,"Kendrick Lamar, Summer Walker",916931,,64
Angela Aguilar,Yuridia,905723,,73
Oxlade,,899515,,64
Silk Sonic,"Bruno Mars, Anderson .Paak",885095,,73
Shae Gill,Ali Sethi,858933,,55
Shekhar Ravjiani,"Shilpa Rao, Sukriti Kakar, Vishal Dadlani, Arijit Singh, Vishal-Shekhar, Caralisa Monteiro, Kumaar",845055,,69
Project Pat,"21 Savage, Drake",826758,,68
Amitabh Bhattacharya,"Sachin-Jigar, Shadab Faridi, Arijit Singh, Varun Jain, Altamash Faridi, Pritam",815044,,81
Becky Hill,"Ella Henderson, David Guetta",808017,,74
Ak4:20,"Pailita, Cris Mj",807819,,64
Coi Leray,"Metro Boomin, Anne-Marie, David Guetta",802178,,73
Yahritza Y Su Esencia,Grupo Frontera,801637,,64
Lasso,,773154,,67
INTERWORLD,,769775,,68
Kaifi Khalil,,765985,,63
Sampha,Kendrick Lamar,758488,,66
Alvaro Diaz,Rauw Alejandro,737688,,77
Masked Wolf,,735192,,64
Mr.Kitty,,724695,,65
The Walters,,719024,,73
AgroPlay,Ana Castela,698009,,70
Melody,"Ana Castela, Dj Chris No Beat",694194,,60
Love Funk,"Mc Paiva ZS, MC Ryan SP",689596,,74
Suki Waterhouse,,687384,,72
dennis,MC Kevin o Chris,675279,,67
Hotel Ugly,,674447,,76
Gurinder Gill,"AP Dhillon, Intense",666823,,69
Gayle,,623864,,62
Cherish,ACRAZE,621762,,64
Beach Weather,,618108,,70
Gesaffelstein,The Weeknd,617807,,72
Nickoog Clk,"Polima WestCoast, Fran C, Pablito Pesadilla",602407,,65
Colde,RM,593005,,61
SALES,,577705,,60
Duncan Laurence,,569107,,66
Polima WestCoast,"Feid, Pablito Pesadilla, Pailita, Fran C, Nickoog Clk, Paloma Mami, De La Ghetto",562532,,67
MC Caverinha,KayBlack,558846,,59
Armani White,,545014,,63
070 Shake,RAYE,535590,,69
Andy Williams,,534468,,58
Muni Long,"JVKE, Kodak Black, Jimin, NLE Choppa",531016,,69
Perry Como,"The Fontane Sisters, Mitchell Ayres & His Orchestra",523203,,58
Kanii,PR1ISVX,521332,,68
Gabry Ponte,"LUM!X, Prezioso",521000,,76
Bing Crosby,"John Scott Trotter & His Orchestra, Ken Darby Singers",518843,,58
DJ Matt D,Mc Livinho,511007,,59
Big One,"FMK, Duki, Maria Becerra, Lit Killah, Tiago pzk, Rusherking, Ke personajes, Emilia",496759,,74
El Chachito,Junior H,489507,,58
Blxst,"Kendrick Lamar, Amanda Reifer",486962,,69
347aidan,Sleepy hallow,484436,,63
Giant Rooks,AnnenMayKantereit,483529,,63
Baby Tate,,481128,,67
Doechii,,471673,,73
Em Beihold,Stephen Sanchez,470542,,70
Libianca,,468792,,66
Dj Chris No Beat,"Ana Castela, Melody",464349,,63
ThxSoMch,,426894,,67
Kaliii,Kaliii,425355,,59
